SizeOfArray,AvgTime,SDtime,AvgComparisons,AvgSwaps,SDcomparisions,SDswaps
2,1.47333e-006,1.98241e-006,1,1.36667,0,0.481894
3,1.51e-006,1.20592e-006,2.6,3.13333,0.489898,1.11754
4,1.42334e-006,6.0038e-007,4.83333,4.86667,0.897527,1.78388
5,1.16667e-006,3.46728e-007,7.26667,6.4,1.20922,1.78139
6,1.28333e-006,7.42555e-007,10.0667,8.96667,1.54776,2.73841
7,3.06333e-006,1.55059e-006,13.2333,10.8667,2.06047,2.52631
8,2.7e-006,6.3351e-007,17.2333,13,2.91757,3.30656
9,3.12e-006,1.9076e-006,20.8333,16.1333,3.6976,4.3645
10,3.33999e-006,3.09651e-006,24.7667,18.5,4.43233,5.12998
11,2.90333e-006,1.55231e-006,29.1333,21.5667,4.97817,5.0904
12,3.06001e-006,1.16779e-006,32.5667,24.1667,4.97784,5.26677
13,3.02e-006,1.87161e-006,38.2333,27.9667,5.66088,4.19907
14,2.53334e-006,4.39952e-007,42.4333,31.2333,7.34703,6.9411
15,3.43666e-006,2.49459e-006,47.9,33.2667,7.05856,7.39339
16,3.11666e-006,1.64906e-006,51.7333,34.8,5.8818,6.96372
32,4.59667e-006,2.62964e-006,131.567,86.2667,10.4584,13.1477
64,5.14334e-006,2.50542e-006,354.333,206.633,32.0565,24.5268
125,8.89667e-006,2.12438e-006,857.3,508.133,90.0441,65.5595
250,1.763e-005,6.52437e-006,2072.9,1220.67,151.201,156.499
500,3.48567e-005,2.62439e-005,4705.93,2733.97,261.92,227.475
1000,6.70667e-005,1.7484e-005,10875.5,6152.3,591.559,603.294
2000,0.000189627,0.000104907,24525.8,13512.5,1043.48,984.867
4000,0.000354987,9.14236e-005,53163.9,29751.8,1373.06,1729.96
8000,0.000735907,0.000133886,120997,65346.8,6322.77,4191.14
16000,0.00127804,0.000253176,267443,145002,9190.11,8256.53
30000,0.00265764,0.00150299,536771,292260,23357.6,23396.2
50000,0.00350186,0.000672432,942290,526607,29633.6,29678.9
100000,0.00726043,0.00114625,2.05924e+006,1.18193e+006,65291.5,55448.7
250000,0.0171211,0.000485446,5.83125e+006,3.59075e+006,113655,142421
