SizeOfArray,AvgTime,SDtime,AvgComparisons,AvgSwaps,SDcomparisions,SDswaps
2,4.13334E-07,1.92758E-07,1,1.36667,0,0.481894
3,5.90002E-07,2.52123E-07,2.6,3.13333,0.489898,1.11754
4,0.00000048,1.1944E-07,4.83333,4.86667,0.897527,1.78388
5,4.93333E-07,1.18133E-07,7.26667,6.4,1.20922,1.78139
6,5.39996E-07,2.25977E-07,10.0667,8.96667,1.54776,2.73841
7,5.99998E-07,1.61246E-07,13.2333,10.8667,2.06047,2.52631
8,6.90002E-07,2.59939E-07,17.2333,13,2.91757,3.30656
9,7.40002E-07,3.66611E-07,20.8333,16.1333,3.6976,4.3645
10,6.80002E-07,2.52189E-07,24.7667,18.5,4.43233,5.12998
11,0.00000086,3.81753E-07,29.1333,21.5667,4.97817,5.0904
12,8.80003E-07,3.22903E-07,32.5667,24.1667,4.97784,5.26677
13,9.86667E-07,5.85795E-07,38.2333,27.9667,5.66088,4.19907
14,9.46667E-07,3.00815E-07,42.4333,31.2333,7.34703,6.9411
15,8.80002E-07,2.03958E-07,47.9,33.2667,7.05856,7.39339
16,0.00000104,3.60182E-07,51.7333,34.8,5.8818,6.96372
32,0.00000192,7.56044E-07,131.567,86.2667,10.4584,13.1477
64,0.00000363,1.16966E-06,354.333,206.633,32.0565,24.5268
125,7.67334E-06,2.36022E-06,857.3,508.133,90.0441,65.5595
250,1.43067E-05,3.08328E-06,2072.9,1220.67,151.201,156.499
500,2.80733E-05,1.63339E-06,4705.93,2733.97,261.92,227.475
1000,6.92267E-05,2.19035E-05,10875.5,6152.3,591.559,603.294
2000,0.000205267,0.000272606,24525.8,13512.5,1043.48,984.867
4000,0.00032096,7.60569E-05,53163.9,29751.8,1373.06,1729.96
8000,0.0014427,0.00305337,120997,65346.8,6322.77,4191.14
16000,0.00175441,0.000689212,267443,145002,9190.11,8256.53
30000,0.00245303,0.000460992,536771,292260,23357.6,23396.2
50000,0.00364027,0.000626993,942290,526607,29633.6,29678.9
100000,0.00702094,0.00075238,2059240,1181930,65291.5,55448.7
250000,0.0180792,0.00123,5831250,3590750,113655,142421
